data,hora,USD_rate,EUR_rate,GBP_rate,AED_rate,ZAR_rate,USD_spread,EUR_spread,GBP_spread,AED_spread,ZAR_spread
12/06/2026,16:38,5.1,6.06,6.87,1.42,0.33,0.02,0.03,0.03,0.02,0.05
12/06/2026,16:43,5.1,6.06,6.87,1.42,0.33,0.02,0.03,0.03,0.02,0.05
